SITE,DATE,TOTAL
HF,21,91656
HF,21,51985
HF,22,119990
HF,22,62700
HF,22,179568
HF,22,217833
HF,22,45210
HF,22,42834
HF,22,125560
HF,22,43470
HF,22,84924
HF,22,32696
HF,23,33663
HF,23,39380
HF,23,58891
HF,23,82064
HF,23,38745
HF,23,64560
HF,23,56550
HF,23,84812
HF,23,71136
HF,23,57591
HF,24,68985
HF,24,136010
HF,24,42255
HF,24,134200
HF,24,114000
HF,24,84160
HF,24,120240
HF,24,94214
HF,25,95739
HF,25,102480
HF,25,324290
HF,25,96922
HF,25,177072
HF,25,85314
HF,25,166408
HF,25,219725
HF,25,82419
HF,25,129000
HF,26,185500
HF,26,149110
HF,26,194940
HF,26,76480
HF,26,95654
HF,26,68640
HF,26,144288
HF,26,64050
HF,26,191880
HF,26,274340
HF,27,29760
HF,27,86609
HF,27,50224
HF,27,64680
HF,27,46766
HF,27,45675
HF,27,53130
HF,27,40131
HF,27,48363
HF,27,15028
HF,28,62730
HF,28,86500
HF,28,82152
HF,28,162852
HF,28,157440
HF,28,59200
HF,28,30380
HF,28,70620
HF,28,105600
HF,28,39680
HF,29,101412
HF,29,78880
HF,29,79212
HF,29,29328
HF,29,78210
HF,29,92411
HF,29,93600
HF,29,66033
HF,29,107415
HF,29,72534
HF,30,33284
HF,30,60210
HF,30,124850
HF,30,65320
HF,30,30870
HF,30,26061
HF,30,97900
HF,30,18920
HF,30,44460
HF,30,54656
HF,31,54998
HF,31,21300
HF,31,45150
HF,31,34383
HF,31,58300
HF,31,59175
HF,31,47264
HF,31,13860
HF,31,31020
HF,31,19980
HF,32,45360
HF,32,41292
HF,32,34340
HF,32,25125
HF,32,40205
HF,32,26230
HF,32,8610
HF,32,11970
HF,32,19320
HF,32,24510
