###MetaData,,
Site,SporCount,ID
HF,186,HF123
HF,162,HF123
HF,167,HF123
HF,182,HF123
HF,186,HF123
HF,172,HF123
HF,154,HF123
HF,132,HF122
HF,157,HF122
HF,167,HF122
HF,164,HF122
HF,166,HF122
HF,136,HF122
HF,142,HF122
HF,143,HF122
HF,156,HF122
HF,149,HF122
HF,157,HF122
HF,167,HF122
HF,139,HF122
HF,118,HF122
HF,150,HF122
HF,117,HF122
HF,163,HF122
HF,144,HF122
HF,145,HF122
HF,151,HF122
HF,159,HF122
HF,140,HF122
HF,147,HF122
HF,132,HF122
HF,130,HF122
HF,138,HF122
HF,120,HF122
HF,160,HF122
HF,151,HF122
HF,134,HF122
HF,142,HF124
HF,154,HF124
HF,162,HF124
HF,171,HF124
HF,151,HF124
HF,141,HF124
HF,147,HF124
HF,138,HF124
HF,150,HF124
HF,138,HF124
HF,137,HF124
HF,132,HF124
HF,151,HF124
HF,152,HF124
HF,141,HF124
HF,145,HF124
HF,170,HF124
HF,150,HF124
HF,154,HF124
HF,136,HF124
HF,132,HF124
HF,132,HF124
HF,156,HF124
HF,162,HF124
HF,141,HF124
HF,126,HF124
HF,166,HF124
HF,158,HF124
HF,136,HF124
HF,152,HF124
HF,145,HF125
HF,205,HF125
HF,131,HF125
HF,151,HF125
HF,136,HF125
HF,141,HF125
HF,136,HF125
HF,127,HF125
HF,111,HF125
HF,162,HF125
HF,140,HF125
HF,172,HF125
HF,139,HF125
HF,131,HF125
HF,141,HF125
HF,132,HF125
HF,155,HF125
HF,223,HF125
HF,110,HF125
HF,151,HF125
HF,144,HF125
HF,142,HF125
HF,143,HF125
HF,155,HF125
HF,139,HF125
HF,168,HF125
HF,155,HF125
HF,132,HF125
HF,137,HF125
HF,162,HF125
HF,153,HF113
HF,136,HF113
HF,141,HF113
HF,129,HF113
HF,172,HF113
HF,117,HF113
HF,140,HF113
HF,158,HF113
HF,79,HF113
HF,130,HF113
HF,144,HF113
HF,160,HF113
HF,123,HF113
HF,126,HF113
HF,123,HF113
HF,108,HF113
HF,78,HF113
HF,140,HF113
HF,121,HF113
HF,97,HF113
HF,159,HF113
HF,94,HF113
HF,151,HF113
HF,133,HF113
HF,121,HF113
HF,140,HF113
HF,138,HF113
HF,122,HF113
HF,126,HF113
HF,98,HF113
HF,158,HF118
HF,127,HF118
HF,175,HF118
HF,187,HF118
HF,145,HF118
HF,148,HF118
HF,145,HF118
HF,156,HF118
HF,182,HF118
HF,131,HF118
HF,169,HF118
HF,123,HF118
HF,156,HF118
HF,153,HF118
HF,144,HF118
HF,118,HF118
HF,134,HF118
HF,164,HF118
HF,185,HF118
HF,164,HF118
HF,144,HF118
HF,186,HF118
HF,136,HF118
HF,133,HF118
HF,160,HF118
HF,140,HF118
HF,173,HF118
HF,156,HF118
HF,133,HF118
HF,175,HF118
HF,130,HF130
HF,144,HF130
HF,130,HF130
HF,131,HF130
HF,146,HF130
HF,148,HF130
HF,140,HF130
HF,135,HF130
HF,127,HF130
HF,125,HF130
HF,108,HF130
HF,149,HF130
HF,145,HF130
HF,138,HF130
HF,132,HF130
HF,130,HF130
HF,192,HF130
HF,142,HF130
HF,149,HF130
HF,107,HF130
HF,137,HF130
HF,112,HF130
HF,164,HF130
HF,137,HF130
HF,135,HF130
HF,151,HF130
HF,140,HF130
HF,171,HF130
HF,145,HF130
HF,112,HF130
HF,121,HF127
HF,140,HF127
HF,161,HF127
HF,127,HF127
HF,137,HF127
HF,154,HF127
HF,171,HF127
HF,167,HF127
HF,155,HF127
HF,136,HF127
HF,165,HF127
HF,173,HF127
HF,148,HF127
HF,142,HF127
HF,135,HF127
HF,174,HF127
HF,151,HF127
HF,150,HF127
HF,153,HF127
HF,135,HF127
HF,155,HF127
HF,147,HF127
HF,126,HF127
HF,127,HF127
HF,145,HF127
HF,117,HF127
HF,122,HF127
HF,127,HF127
HF,187,HF127
HF,115,HF127
HF,141,HF128
HF,123,HF128
HF,116,HF128
HF,179,HF128
HF,124,HF128
HF,125,HF128
HF,137,HF128
HF,151,HF128
HF,113,HF128
HF,128,HF128
HF,118,HF128
HF,152,HF128
HF,164,HF128
HF,122,HF128
HF,110,HF128
HF,132,HF128
HF,116,HF128
HF,177,HF128
HF,124,HF128
HF,178,HF128
HF,135,HF128
HF,139,HF128
HF,191,HF128
HF,166,HF128
HF,128,HF128
HF,160,HF128
HF,92,HF128
HF,144,HF128
HF,169,HF128
HF,146,HF128
